modelo,fold,texto,y_true,y_pred,tipo_erro,score
LogisticRegression,0,Mais uma maneira das urnas roubarem o voto ... Repassem pra todos ... Vejam como a esquerda tenta voltar ao poder a qualquer preço... Fique  atento... :backhand_index_pointing_down_dark_skin_tone:,0,1,FP,0.5486378913394878
LogisticRegression,0,Eu não sou gay. Sou hetero e tenho namorada. Mas curto um papo com macho sabe falar uma putaria e tals,0,1,FP,0.8802280561875523
LogisticRegression,0,"OBRASIL VAI FECHAR 2022 COM UMA DIVIDA PUBLICA INTERNA DE 6 TRILHOES.
E PAGA DE JUROS AOS BANQUEIROS NA FAIXA DE 500 BILHOES AO ANO E O ORÇAMENTO DE 2023 CONSOME MAIS DE 50% DE JUROS DA DIVIDA. NAO VEJO OS CANDIDATOS DISCUTINDO ESSE BURACO NEGRO EM NOSSA ECONOMIA...",0,1,FP,0.8329800285190538
LogisticRegression,0,"Lula é tão defensor dos pobres que não tinha um pobre no casamento dele .
Lula é tão defensor dos negros que não tinha um negro no casamento dele.",0,1,FP,0.5178872416893714
LogisticRegression,0,"Muito obrigado Igor. Antifas digitais, pessoas odiosas querem desidratar os grupos de direita porque sabem que vamos pro combate e venceremos. Todos esses canalhas cairão um a um, a começar pelo rato-mor de 9 dedos",0,1,FP,0.6007433176229464
LogisticRegression,0,"NO DIA 02 , SE VC DIGITAR O NUMERO DO TEU CANDIDATO E APARECER OUTRO . 
NÃO APERTE O BOTÃO VERDE , LEVANTE AS MÃOS E EXIJA A PRESENÇA DO JUIZ DE PLANTÃO QUE TEM A OBRIGAÇÃO DE TROCA E INTERDIÇÃO DAQUELA URNA . NÃO PRECISA CRIAR TUMULTO SERIA BOM QUE ALGUEM ESTEJA FILMANDO VC PARA EVIDENCIAR A EXIGÊNCIA QUE É DIREITO DO CIDADÃO  
A TROCA E INTERDIÇÃO DAQUELA URNA . 

INSTRUÇÃO DADA POR ADVOGADOS ESPECIALISTAS EM PROGRAMA JORNALISTICO DA JOVEM PAN DE BAURU NA MANHÃ DE 27/09/22.

COMPARTILHE . 
É A LUTA DO BEM CONTRA O MAL.",0,1,FP,0.8958424020857044
LogisticRegression,0,Nossa q fofo tão pq e tão lacrador kkkkk :Brazil::Brazil::Brazil::red_heart::red_heart:,0,1,FP,0.8351052410535516
LogisticRegression,0,"Como eu disse faz igual o Bozo, liga para o Temer.
Que vergonha alheia.
Normal do Bozo.....
Passar vergonha
Cadê o 7 de setembro,liga aí para o Temer. Kkkkkkkk",0,1,FP,0.877341853192442
LogisticRegression,0,Sao mentirosos eles sabe que se o lula ganhar a mamata deles vao acabar e vai ser o fim da jovem pan,0,1,FP,0.5542381074596191
LogisticRegression,0,"Nāo esqueçam quem mandou você FICAR EM CASA. Quem tratou o cidadāo de bem como BANDIDO. FORACASAGRANDE. MANATO 22 , BOLSONARO 22, MAGNO MALTA 222, GILVAN DA FEDERAL 2222",0,1,FP,0.8751638938683622
