id,text_content_anonymous,rotulo_modelo
348,"Eu fiz o pix de 100 reais, tenho até os comprovantes. Deus vai ajudar , sim! Mas temos que fazer a nossa parte!",0
2964,"No nordeste é tudo baiano, preguiçoso, pobre, que não tem o que comer... etc... se não fosse por SP a galera morre no nordeste... é assim a educação lá",1
1231,":police_car_light::loudspeaker::speaker_high_volume: O presidente Bolsonaro tem seu time de *candidatos militares* do seu Partido no Amazonas

Um *Dois Capitães*, um *Coronel* e um *Major* que representam lealdade, patriotismo e competência à serviço e disposição povo.

:hundred_points: *COLINHA DO TIME DO BOLSONARO NO AMAZONAS*:double_exclamation_mark:

:TOP_arrow:Santinho na ordem de votação da urna!!!

:check_mark_button: :keycap_2::keycap_2::keycap_1::keycap_0: *DEPUTADO FEDERAL* :backhand_index_pointing_right_light_skin_tone: Capitão Alberto Neto (PL)
 :check_mark_button: :keycap_2::keycap_2::keycap_0::keycap_0::keycap_0: *DEPUTADO ESTADUAL* :backhand_index_pointing_right_light_skin_tone: Major Fábio Huss (PL)
:check_mark_button: :keycap_2::keycap_2::keycap_2: *SENADOR* :backhand_index_pointing_right_light_skin_tone: Coronel Menezes (PL) 
:check_mark_button: :keycap_0::keycap_0: *GOVERNADOR* :backhand_index_pointing_right_light_skin_tone: Escolha o menos pior!!!:face_vomiting: 
:check_mark_button: :keycap_2::keycap_2: *PRESIDENTE* :backhand_index_pointing_right_light_skin_tone: Capitão Jair Bolsonaro (PL)",0
738,":white_circle::white_circle: *Sexta-feira da 26ª Semana do Tempo Comum - 30.09.2022*:white_circle::white_circle:

*Memória de São Jerônimo, Doutor da Igreja*

:open_book: *EVANGELHO  - Lc 10,13-16*:candle:

:plus:Proclamação do Evangelho de Jesus Cristo segundo São Lucas

:hourglass_done:Naquele tempo, disse Jesus: 
*13* - Ai de ti, Corazim! Aí de ti, Betsaida! 
Porque se em Tiro e Sidônia 
tivessem sido realizados os milagres que foram feitos no vosso meio, há muito tempo teriam feito penitência, 
vestindo-se de cilício e sentando-se sobre cinzas. 

*14* - Pois bem: no dia do julgamento,  Tiro e Sidônia terão uma sentença menos dura do que vós. 

*15* - Ai de ti, Cafarnaum! 
Serás elevada até o céu? Não, tu serás atirada no inferno. 

*16* - Quem vos escuta, a mim escuta;  e quem vos rejeita, a mim despreza;  mas quem me rejeita, rejeita aquele que me enviou. 

*– Palavra da Salvação.*:open_book:
   – Glória à Vós, Senhor.:raising_hands:",0
1884,"A luta é de nós todos ; e vai continuar 
Deus não nós desamparou ; vamos clamar a Deus , somente Deus nos fará fortes, corajosos e vitoriosos 
Eu creio ! Ameeem",0
979,"Bando de safados, canalhas mil vezes canalhas, com certeza que isso vai induzir muitos a anular o voto mesmo porque grande multidão não sabe como funciona a maldita urna e não só isso as pessoas na ânsia de votar logo no Bolsonaro apertarão logo com certeza a tecla errada, isso foi uma ideia bem diabólica deles da esquerda",1
2423,":index_pointing_up:A estupidez do Luladrão com a própria esposa após o debate. Quem é o misógino mesmo, que despreza e não respeita as mulheres?",1
1352,"*A vitória é do povo brasileiro! Parabéns povo cristão, parabéns patriotas, parabéns homens e mulheres de bem. Deus abençoe o povo brasileiro, que disse não a tidas as coisas ruins do PT e dessa esquerda destrutiva.* :Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil:      :keycap_2::keycap_2: no coração!",0
2842,"Um baita idiota
A pessoa que postou!
Até então a gente falava de política mas tinha respeito!",0
1472,"Gente, sou do Piauí. E garanto que a grande maioria dos amigos e familiares em peso são Bolsonaro. Estou aqui destruída. Já chorei tanto :loudly_crying_face::loudly_crying_face::loudly_crying_face: É um inferno esse PT em nosso Estado. Com certeza essas urnas foram manipuladas em todos os estados e principalmente no Nordeste, onde eles tem mais controle. É revoltante. Tô sem chão :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",1
