text_content_anonymous,id
"E Bolsonaro estacionou foi??? Eu em!!! Isso é estranho, parou de contar para ele?",1406
"Eu sou Vivi Tobias, candidata a deputada federal  2838 e não uso dinheiro público e conclamo aos cristãos do nosso MS a cerrarem fileiras junto comigo nessa luta do bem contra o mal. 


“Que Deus abençoe nossa nação, que Deus abençoe o Mato Grosso do Sul”",502
"DESCULPEM. NÃO ESTOU MAIS AGUETANDO. A TAL GLOBO TV ( blog do Lisboa) já deu o resultado das URNAS DE DOMINGO! E VITORIO PARA O MELIANTE MAIOR LULADRÃO???, ISSO E ATÉ "" DEBOCHE PURO"", CONTRA CIDADÃOS DE BEM",2719
"Com certeza meu irmão e esse Ladrão não assume a presidência em nome do Senhor JESUS CRISTO, eu creio!!:folded_hands_dark_skin_tone::folded_hands_dark_skin_tone::folded_hands_dark_skin_tone::raising_hands_dark_skin_tone::raising_hands_dark_skin_tone::raising_hands_dark_skin_tone:",1522
"Bom dia!
Que Deus abençoe nossa Nação, que seja um dia tranquilo e que mais tarde possamos comemorar a reeleição do do nosso presidente :folded_hands_medium-dark_skin_tone::folded_hands_medium-dark_skin_tone::Brazil::Brazil:",1187
"Eles vão tentar de tudo, como disse a anta terrorista Dilmentira em 2016 eles já fizeram pacto até com o diabo e estão comprometendo a nossa nação com as trevas. 
Estão inclusive colocando os crentes contra o Bolsonaro ligando o Presidente a maçonaria, tudo isso e muito mais para tentar fazer com que os crentes esqueçam os U$ bilhões que o ladrão roubou e também pra tentar fazer os crentes esquecerem que o LADRÃO MACUMBEIRO e seus idólatras xingaram muito os crentes e ele prometeu que se for eleito vai colocar padres e pastores no seu devido lugar. 

SERÁ QUE OS CRENTES JA ESQUECERAM TUDO ISSO?",2055
"Tudo está muito grave. Começou com a facada no Bolsonaro e foi proibido descobrir o mandante. Urnas negadas de ter votos impresso. Mordaça nos empresários, nos juízes que foram impedidos de se manifestar sobre urnas/eleições... Etc, etc...
Estávamos contando com as fraudes meu Deus do céu. Pq foram deixando isso passar???",1532
Infelizmente fomos roubados e o Brasil caiu nas mãos da esquerda e não o que fazer.,1667
"Muito estranho mesmo, porque todos que votam no Zema votam no Bolsonaro",1363
A  esquerda   usa  de várias   artimanhas   para  confundir   o  eleitor   ! VOTE  APENAS   nos  candidatos   da  direita   e  aguarde    o resultado   ! NOSSAS  FFAA   NÃO   VAI  trair  sua  NAÇÃO   !,296
REPASSE ESTA ORAÇÃO E JEJUM PELO NOSSO BRASIL E PRESIDENTE JAIR MESSIAS BOLSONARO E A CADA IRMÃO EM CRISTO JESUS :smiling_face_with_halo::folded_hands_medium-light_skin_tone::red_heart::smiling_face_with_hearts:,556
"Isto aconteceu em 2018, na véspera do segundo turno
Quando Bolsonaro ganhou, a petezada sumiu. Pararam as invasões de imóveis",252
"DIA 30/10.., NÃO VOTE EM LULADRAO…, PROTEJA A SUA FAMÍLIA.., NÃO AS DROGAS, ABORTO, CORRUPÇÃO, AOS TROMBADINHAS DE CELULAR…, E A SUA LIBERDADE..!!!! PENSE NISSO NA HORA DE VOTAR…!!!",2753
Leia essa matéria ... Marcola quer que o Lula vença ... Leia toda a sujeira e veja também pq o bandido condenado não vai entrar no governo ... Deus nos livre destes monstros ...,1060
"Facebook, não admite uma palavra contra esquerdista mas, o luladrão e seus comparsas, isso é D :plus::enraged_face::enraged_face::enraged_face::enraged_face::enraged_face::enraged_face:",2336
"Eu pensei, que com a diferença enorme que o Bolsonaro tinha na frente, que seria impossível do Luladrão alcança-lo. Depois de uns 60% parecia que não havia mais votos pro Bolsonaro.
Mas olha o vídeo da Bárbara do Te Atualizei, penso igual à ela, ela fala de números:",1803
"Kara tu é burro né
Vc Ñ ta no grupo pra saber quem é esses petistas do inferno.",2885
"Versículo:

Justificados, pois, pela fé, tenhamos paz com Deus, por nosso Senhor Jesus Cristo, por quem obtivemos também nosso acesso pela fé a esta graça, na qual estamos firmes, e gloriemo-nos na esperança da glória de Deus.",473
