id,text_content_anonymous,rotulo_modelo
2026,"Isso são é jornalista, é um esquerdopata que deveria ser preso",1
1810,":warning::no_entry: *GRAVÍSSIMO!! ATENÇÃO, COMPARTILHEM MUITO* :red_exclamation_mark:

:prohibited: *INFILTRADOS estão  inflando patriotas a atacarem líderes de direita por pedirem _""Fora Lula""_ ou qualquer outra coisa que não seja o mantra _""Intervenção Federal""_ !!* 

Jogando uns contra os outros pra CALAR a voz contra o Lularápio e não citar sequer o nome do Bolsonaro!! ISSO é coisa de  ESQUERDISTA, quem é DIREITA RAIZ SABE MUITO BEM!! :eyes::face_with_monocle:

*Se nem o nosso CAPITÃO RECONHECEU vitória de Lula* e a nossa luta hoje é justamente para IMPEDIR que o Ladrão tome posse, *por que estão AGREDINDO patriotas que falam contra o nine?*

:pushpin: *A VERDADE: INFILTRADOS QUEREM IMPEDIR que os protestos EVIDENCIEM que o Brasil NÃO QUER LULA e assim tome proporção maiores!!*

:backhand_index_pointing_right: Recado da *ALIANÇA DIREITA BRASIL* ( _antiga ""ALID"", nascida em 2015 na casa do Jair na Barra, união dos movimentos de Direita mais antigos do Brasil_).",1
247,":orange_square:  TWITTER  :orange_square:

:speaking_head: Guilherme Fiuza
:newspaper: #[USER]

Os democratas de auditório passaram quatro anos sem reconhecer o resultado das urnas e agora estão aflitos para botar logo a coroa na cabeça do ladrão descondenado pelos juízes da eleição. Os ricos e os bandidos têm pressa.

:watch: 31/10/2022 - 12:54:28
via Twitter for iPhone
Ver no Twitter :window:",0
1576,"Tortura ele vai ver se o PT entrar no governo. Esse sempre foi um falastrão nunca fui no papinho dele e antes de saber a ideologia política que ele propaga, socialista de iPhone",0
1854,"Lula é socialista, mesmo tendo relações com líderes comunistas, se ele fosse 100% comunista no mandato dele o Brasil estaria fudido e hj estaríamos exatamente igual a Venezuela, oq logicamente não aconteceu",0
1067,":police_car_light::police_car_light::police_car_light::police_car_light::police_car_light::police_car_light::police_car_light::police_car_light::police_car_light:Compartilhem na gringa. O mundo precisa saber 

*Brazil's DICTATORSHIP 2022*

DITADURA do Brasil em 2022

List of those censored by the dictatorship:

1 TV Jovem Pan - *Newspaper*

2 Nikolas Ferreira - *Politician* 

3 Carla Zambelli - *Politician* 

4 André Valadão - *Pastor*

5 Zezé Di Camargo - *Singer*

6 Prof. Marcos Cintra - *Politician*

7 Major Victor Hugo - *Politician*

8 Coronel Tadeu - *Politician*

9 Daniel Silveira - *Politician*

10 Allan dos Santos - *Journalist*

11 Pablo Marçal - *Pastor and Politician* 

12 Latino - *Singer*

13 Zé Trovão - *Politician*

14 Canal Hipócritas - *Comedy channel* 

15 Paulo Figueiredo - *Journalist*

16 Marisa Lobo - *Writer*

17 Gustavo Gayer - *Journalist and Politician*

18 Luciano Hang - *Businessman*

19 Bella Falconi - *Writer*

20 Oswaldo Eustáquio - *Journalist*

21 Adrilles Jorge - *Journalist*

22 Otoni de Paula - *Pastor and Politician*

Faltou alguém? Atualiza e repassa",1
1382,"""Mas eu me orgulharei somente da cruz do nosso Senhor Jesus Cristo. Pois, por meio da cruz, o mundo está morto para mim, e eu estou morto para o mundo."" - Gálatas 6:14 - Bíblia sagrada...",0
2768,Sexo gay entre apoiador do Bolsonaro sendo passivo e militante do MsT sendo o ativo Google pesquisar,1
2424,Nao fassa isso .siga seu coraçao Deus viver em vc...melhor com ele .pior vai ser sem ele isso te garanto..vc vai quere sua  filha .dentro de um banheiro com um marmanjo. Olhando oque ele faz ACORDA ..nao deiche ninguem fala por vcs....,1
1447,Essa pesquisa desde ontem tá no mesmo resultado! É pesquisa de esquerda gente... Não divulgue isso,1
