id,text_content_anonymous,rotulo_modelo
481,"Todos que são do Bolsonaro sai imediatamente deste grupo pois estão muitos Petistas infiltrado no meio Para segredinho o Nosso Presidente Bolsonaro 
Estão digitando ser da direita saia imediatamente :man_pilot::man_pilot::man_pilot::man_pilot::man_pilot:",1
2588,"Eu confesso, não tenho paciência com os parentes e chegados, vc sabe que é psicopata e vai deixar eles pensarem que vc é idiota? Nem, rasgo logo o verbo. Pior que dá certo. Ficam tão irados por saber que vc não é alienada, doutrinada facilmente por eles, que te xingam, humilham vc na frente da família achando que assim irá converter mais familiares pra grande causa comunista. Fica alerta sempre, rogue a Deus que Te Proteja. O Espírito Santo de Deus, falará usando vc contra o maligno. Não desanime, a Luz, sempre vence as trevas.  Ceiça Neves.",1
2663,"Isentão você desceu do muro, agora está do lado do ladrão, a partir desse momento você será tratado do que você é de petralha .",1
522,"Acho q o canal no telegram q foi bloqueado,pq o vídeo no YouTube tá normal",1
582,"Meu Deus a mídia sempre foi nossa inimiga, um dos caras mais qualificados que se candidatou para presidente era tratado como um louco.",1
233,"Liz Truss: Avanço da economia não tem sido suficientemente forte

Minhas prioridades são crescimento, crescimento, crescimento

:yellow_circle: Vamos reduzir a carga tributária

Primeira-ministra do Reino Unido, Liz Truss, discursa em evento do partido Conservador

Fonte: BDM

:small_orange_diamond: t.me/alexeconomia",1
888,Vamos identificar os esquerdista no grupo e passar para os admin,1
1880,quer espantar um petralha?,1
461,"Gente, bom dia!
Eu sei que esse não é o principal intuito do grupo, mas mando essa mensagem já como pedido de socorro. Meu tio é esquizofrênico e o psiquiatra passou remédio muito caro, infelizmente no momento não estamos com condições pra pagar porque cada caixa custa 129,00 reais do aririprazol ele passou duas, e 78,00 reais o quetiapina. Se alguém puder me ajudar com qualquer valor que seja gente ficaremos muito gratos, E se precisar que eu comprove me chame no privado que eu mando a receita.

A chave do pix gente é email [EMAIL]",0
2498,":rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:quer calcificar a glândula pineal de todos para se manter cegos e controlados,manda a petezada tomar esse experimento que destrói seu organismo e não cura e nem protege nadaaaa e tira sua percepção essa, seu raciocínio e seu lado espiritual pois calcifica a glândula pineal,onde o sistema assim controla vc através da mídia :person_shrugging:",1
